
Japanese,Hiragana,Burmese,Tags
"見ます","見[み]ます","ကြည့်သည်","Minna_no_Nihongo_2::Lesson_26"
"診ます","診[み]ます","ကြည့်သည်(လူနာကိုကြည့်သည်)","Minna_no_Nihongo_2::Lesson_26"
"探します","探[さが]します","ရှာဖွေသည်","Minna_no_Nihongo_2::Lesson_26"
"遅れます","遅[おく]れます","နောက်ကျသည် (အချိန်)","Minna_no_Nihongo_2::Lesson_26"
"間に合います","間[ま]に合[あ]います","အချိန်မီသည်","Minna_no_Nihongo_2::Lesson_26"
"やります","やります","လုပ်ကိုင်သည်","Minna_no_Nihongo_2::Lesson_26"
"拾います","拾[ひろ]います","ကောက်ယူသည်","Minna_no_Nihongo_2::Lesson_26"
"連絡します","連[れん]絡[らく]します","ဆက်သွယ်သည်","Minna_no_Nihongo_2::Lesson_26"
"気分がいい","気[き]分[ぶん]がいい","စိတ်သာယာသော","Minna_no_Nihongo_2::Lesson_26"
"気分が悪い","気[き]分[ぶん]が悪[わる]い","စိတ်မသာယာသော","Minna_no_Nihongo_2::Lesson_26"
"運動会","運[うん]動[どう]会[かい]","အားကစားပွဲတော်","Minna_no_Nihongo_2::Lesson_26"
"盆踊り","盆[ぼん]踊[おど]り","Bon ပွဲတော်အက","Minna_no_Nihongo_2::Lesson_26"
"フリーマーケット","フリーマーケット","free market","Minna_no_Nihongo_2::Lesson_26"
"場所","場[ば]所[しょ]","နေရာ","Minna_no_Nihongo_2::Lesson_26"
"ボランティア","ボランティア","ပရဟိတလုပ်ခြင်း၊","Minna_no_Nihongo_2::Lesson_26"
"財布","財[さい]布[ふ]","ပိုက်ဆံအိပ်","Minna_no_Nihongo_2::Lesson_26"
"ごみ","ごみ","အမှိုက်","Minna_no_Nihongo_2::Lesson_26"
"国会議事堂","国[こっ]会[かい]議[ぎ]事[じ]堂[どう]","လွှတ်တော်အဆောက်အဦး","Minna_no_Nihongo_2::Lesson_26"
"平日","平[へい]日[じつ]","week day","Minna_no_Nihongo_2::Lesson_26"
"~弁","~弁[べん]","--ဒေသစကား","Minna_no_Nihongo_2::Lesson_26"
"今度","今[こん]度[ど]","နောက်တစ်ခေါက်","Minna_no_Nihongo_2::Lesson_26"
"ずいぶん","ずいぶん","အတော်အတန်","Minna_no_Nihongo_2::Lesson_26"
"直接","直[ちょく]接[せつ]","တိုက်ရိုက်","Minna_no_Nihongo_2::Lesson_26"
"いつでも","いつでも","ဘယ်အချိန်ဖြစ်ဖြစ်","Minna_no_Nihongo_2::Lesson_26"
"どこでも","どこでも","ဘယ်နေရာဖြစ်ဖြစ်","Minna_no_Nihongo_2::Lesson_26"
"だれでも","だれでも","ဘယ်သူဖြစ်ဖြစ်","Minna_no_Nihongo_2::Lesson_26"
"何でも","何[なん]でも","ဘာဖြစ်ဖြစ်","Minna_no_Nihongo_2::Lesson_26"
"こんな","こんな","ဒါလောက်တောင်","Minna_no_Nihongo_2::Lesson_26"
"そんな","そんな","ဒီလောက်တောင်","Minna_no_Nihongo_2::Lesson_26"
"あんな","あんな","အဲဒီလောက်တောင်","Minna_no_Nihongo_2::Lesson_26"
"エドヤストア","エドヤストア","Edo စတိုးဆိုင်","Minna_no_Nihongo_2::Lesson_26"
"片付きます","片[かた]付[づ]きます","သေသပ်စွာသိမ်းဆည်းသည်","Minna_no_Nihongo_2::Lesson_26"
"出します","出[だ]します","အမှိုက်ပစ်သည်","Minna_no_Nihongo_2::Lesson_26"
